domain,v,p,pct,rua,ruf,sp,fo,rf,adkim,aspf,ri
_dmarc.caa.co.uk.,DMARC1,reject,default,mailto:dmarc.rua@caa.co.uk,mailto:dmarc.ruf@caa.co.uk,default,1,default,default,default,default
_dmarc.campusvirtualsp.org.,DMARC1,quarantine,25,mailto:degraciae@paho.org,default,default,default,default,default,default,default
_dmarc.ccs.k12.in.us.,DMARC1,reject,100,"mailto:uvp29bms@ag.dmarcian.com,mailto:dmarc@ena.net",mailto:uvp29bms@fr.dmarcian.com,default,1,default,default,default,default
_dmarc.chainalysis.com.,DMARC1,reject,default,"mailto:dmarc_agg@vali.email,mailto:postmaster@chainalysis.com",mailto:postmaster@chainalysis.com,default,default,afrf,default,default,86400
_dmarc.cliengage.org.,DMARC1,none,default,mailto:dmarc_agg@vali.email,default,default,1,default,default,default,default
_dmarc.deckshop.pro.,DMARC1,none,default,mailto:system@deckshop.pro,default,default,default,default,default,default,default
_dmarc.dojomojo.com.,DMARC1,none,default,mailto:re+5e0e60993869@inbound.dmarcdigests.com,default,default,default,default,default,default,default
_dmarc.edwardsgarment.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.egym.de.,DMARC1,none,default,mailto:8c87dd5ee6@rua.easydmarc.eu,mailto:8c87dd5ee6@ruf.easydmarc.eu,default,1,default,default,default,default
_dmarc.esolutionsgroup.ca.,DMARC1,quarantine,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.feedonomics.com.,DMARC1,none,default,mailto:dmarc@feedonomics.com,default,default,default,default,default,default,default
_dmarc.harmonyads.com.,DMARC1,quarantine,100,mailto:dev@harmonyads.com,mailto:dev@harmonyads.com,default,1,default,default,default,default
_dmarc.havertys.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.hmeinc.net.,DMARC1,quarantine,default,mailto:d@hmeinc.net,mailto:d@hmeinc.net,reject,default,default,default,default,84600
_dmarc.idera.com.,DMARC1,reject,default,"mailto:mailauth-reports@google.com,mailto:aggrep@idera.com",mailto:authfail@idera.com,default,1,default,default,default,default
_dmarc.idicore.com.,DMARC1,quarantine,100,mailto:dmarc.reports@ididata.com,mailto:dmarc.reports@ididata.com,none,1:d:s,default,r,r,86400
_dmarc.intercom-clicks.com.,DMARC1,reject,100,default,default,default,default,default,default,default,default
_dmarc.kaartje2go.nl.,DMARC1,reject,100,"mailto:re+y9kp9myktaq@dmarc.postmarkapp.com,mailto:re+ztbu9f03jgm@dmarc.postmarkapp.com",default,none,default,default,default,r,default
_dmarc.kc-education.com.,DMARC1,none,default,mailto:673uqvss@ag.dmarcian.com,default,default,default,default,default,default,default
_dmarc.latoken.com.,DMARC1,quarantine,default,default,default,default,default,default,default,default,default
_dmarc.lcmsplus.com.,DMARC1,none,default,mailto:dmarc@lcmsplus.com,mailto:dmarc_ruf@lcmsplus.com,default,default,default,default,default,default
_dmarc.lidodvms.com.,spf1 include:lidodvms.com ~all,default,default,default,default,default,default,default,default,default,default
_dmarc.litefinance.org.,DMARC1,quarantine,default,mailto:postmaster@litefinance.org,mailto:postmaster@litefinance.org,none,default,default,default,r,default
_dmarc.material.io.,DMARC1,none,default,mailto:mailauth-reports@google.com,default,default,default,default,default,default,default
_dmarc.mercurymarine.com.,DMARC1,reject,default,mailto:27a85106c128153@rep.dmarcanalyzer.com,mailto:27a85106c128153@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.mesaaz.gov.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.mhi.co.jp.,DMARC1,none,100,mailto:dmarc-rua@mhi.com,default,none,default,default,default,r,default
_dmarc.moises.ai.,DMARC1,quarantine,100,"mailto:b0ab4127be7b4537b51df56be43984a6@dmarc-reports.cloudflare.net,mailto:dmarc-reports+report@moises.ai",mailto:dmarc-reports+failure@moises.ai,quarantine,1,default,r,r,432000
_dmarc.moneytalksnews.com.,DMARC1,reject,default,mailto:fa1c68a8f6234ad0a8352264865ae6d7@dmarc-reports.cloudflare.net,default,default,default,default,default,default,default
_dmarc.multcolib.org.,DMARC1,none,default,mailto:it.security.reports@multco.us,default,none,default,default,default,default,86400
_dmarc.myhrsupportcenter.com.,DMARC1,quarantine,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.naiz.fit.,DMARC1,none,default,mailto:dmarc-reports@naiz.fit,default,default,default,default,default,default,default
_dmarc.neogames.com.,DMARC1,quarantine,100,default,default,default,default,default,default,default,default
_dmarc.netnam.vn.,DMARC1,none,100,mailto:dmarc@netnam.vn,mailto:dmarc@netnam.vn,default,default,default,s,s,default
_dmarc.nic.cr.,DMARC1,none,default,mailto:postmaster@nic.cr,default,default,default,default,default,default,default
_dmarc.northernnewsnow.com.,DMARC1,none,default,mailto:rua+northernnewsnow.com@dmarc.barracudanetworks.com,mailto:ruf+northernnewsnow.com@dmarc.barracudanetworks.com,default,1,default,default,default,default
_dmarc.npg.org.uk.,DMARC1,quarantine,default,"mailto:yY9xvss6aVa@dmarc-rua.mailcheck.service.ncsc.gov.uk, mailto:DMARC@npg.org.uk",mailto:DMARC@npg.org.uk,default,default,default,default,r,default
_dmarc.oikotie.fi.,DMARC1,reject,100,mailto:3ba3664e@inbox.ondmarc.com,mailto:3ba3664e@inbox.ondmarc.com,reject,1,afrf,r,r,3600
_dmarc.onestreamsoftware.com.,DMARC1,none,default,mailto:dmarc@onestreamsoftware.com,mailto:dmarc@onestreamsoftware.com,default,default,default,default,default,86400
_dmarc.onlineexpert.com.,DMARC1,none,100,mailto:security@learnkey.com,default,default,default,default,default,default,default
_dmarc.opodo.com.,DMARC1,none,100,mailto:re+zcla7bhbkhj@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.presentshome.com.,DMARC1,quarantine,default,mailto:dmarc_report@qiye.163.com,mailto:dmarc@qiye.163.com,default,1,default,default,default,default
_dmarc.rooom.com.,DMARC1,quarantine,100,mailto:dmarc@rooom.com,mailto:dmarc@rooom.com,quarantine,default,afrf,default,default,86400
_dmarc.salvationarmy.org.uk.,DMARC1,none,default,mailto:033b56b58aa8304@rep.dmarcanalyzer.com,mailto:033b56b58aa8304@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.sas.se.,DMARC1,quarantine,100,mailto:tcs-is-soc@sas.dk,mailto:tcs-is-soc@sas.dk,none,1,default,r,r,default
_dmarc.shopdunkin.com.,DMARC1,reject,100,mailto:dmarc@bamko.net,default,none,default,default,default,default,default
_dmarc.signature.cl.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.singlekey-id.com.,DMARC1,quarantine,default,mailto:dmarc@singlekey-id.com,default,default,default,default,default,default,default
_dmarc.synack.com.,DMARC1,reject,default,mailto:0c7r2nue@ag.dmarcian.com,mailto:0c7r2nue@fr.dmarcian.com,default,default,default,default,default,default
_dmarc.thecancunsun.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.ticketmaster.se.,DMARC1,quarantine,default,"mailto:dmarc_agg@auth.returnpath.net,mailto:dmarc_agg@vali.email","mailto:dmarc_afrf@auth."" ""returnpath.net",default,1,default,default,default,default
_dmarc.uoc.gr.,DMARC1,none,default,mailto:postmaster@uoc.gr,mailto:postmaster@uoc.gr,none,default,default,r,r,default
_dmarc.vinkvink.nl.,DMARC1,reject,default,mailto:16fcb1a8c331993@rep.dmarcanalyzer.com,mailto:16fcb1a8c331993@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.worldphone.in.,DMARC1,none,default,mailto:kamlesh@worldphone.in,default,default,default,default,default,default,default
_dmarc.yourobserver.com.,DMARC1,quarantine,default,mailto:dmarc@yourobserver.com,default,default,default,default,default,default,default
_dmarc.zalando.it.,DMARC1,none,default,mailto:dmarc_reports@zalando.it,mailto:dmarc_auth@zalando.it,default,default,default,default,default,default
_dmarc.zoex.app.,DMARC1,none,default,mailto:15d3739770b8491da4b2289d3a8c5187@dmarc-reports.cloudflare.net,default,default,default,default,default,default,default
_dmarc.zooplus.fr.,DMARC1,none,default,mailto:dmarc-reporting@zooplus.com,default,default,default,default,default,default,default
_dmarc.animalia.bio.,DMARC1,quarantine,default,mailto:info@animalia.bio,default,default,default,default,default,default,default
_dmarc.atrbpn.go.id.,DMARC1,quarantine,default,mailto:sysadmin@atrbpn.go.id,mailto:sysadmin@atrbpn.go.id,quarantine,default,default,default,default,default
_dmarc.bibit.id.,DMARC1,quarantine,100,mailto:dmarc@bibit.id,default,default,default,default,default,default,default
_dmarc.bitrue.com.,DMARC1,none,default,mailto:dmarc@bitrue.com,default,default,default,default,default,default,default
_dmarc.caferio.com.,DMARC1,reject,default,"mailto:261e856701@rua.easydmarc.us,mailto:rua+caferio.com@dmarc.barracudanetworks.com","mailto:261e856701@ruf.easydmarc.us,mailto:ruf+caferio.com@dmarc.barracudanetworks.com",default,1,default,default,default,default
_dmarc.chiefdelphi.com.,DMARC1,quarantine,default,default,default,default,default,default,default,default,default
_dmarc.circaworks.com.,DMARC1,reject,100,mailto:e906a2e602fd037@rep.dmarcanalyzer.com,mailto:e906a2e602fd037@for.dmarcanalyzer.com,reject,0:1:d:s,default,default,default,default
_dmarc.clearvoice.com.,DMARC1,reject,100,mailto:re+redaec2bws6@dmarc.postmarkapp.com,default,reject,default,default,r,r,default
_dmarc.conair.com.,DMARC1,none,default,mailto:17970273eefd807@rep.dmarcanalyzer.com,mailto:dmarc@conair.com,default,1,default,default,default,default
_dmarc.dailyverses.net.,DMARC1,none,default,mailto:mail@dailyverses.net,default,default,default,default,default,default,default
_dmarc.dallascad.org.,DMARC1,quarantine,default,mailto:dmarc@dallascad.org,default,default,default,default,default,default,default
_dmarc.discountschoolsupply.com.,DMARC1,none,default,"mailto:dmarcalerts@excelligence.com,mailto:dmarc_rua@emaildefense.proofpoint.com","mailto:dmarcalerts@excelligence.com,mailto:dmarc_ruf@emaildefense.proofpoint.com",default,1,default,default,default,default
_dmarc.dishemail.com.,DMARC1,reject,100,default,default,default,default,default,default,default,default
_dmarc.easystore.co.,DMARC1,quarantine,100,mailto:dmarc-reports@easystore.co,default,default,default,default,r,r,default
_dmarc.everstream.net.,DMARC1,reject,100,mailto:ef5d87c643f8075@rep.dmarcanalyzer.com,mailto:ef5d87c643f8075@for.dmarcanalyzer.com,default,1:d:s,default,r,r,default
_dmarc.facture.co.,DMARC1,reject,100,mailto:notificador@facture.co,mailto:notificador@facture.co,reject,1,afrf,r,r,default
_dmarc.figmd.com.,DMARC1,quarantine,50,"mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc@figmd.com","mailto:dmarc@figmd.com,mailto:dmarc_ruf@emaildefense.proofpoint.com",default,1,default,default,default,default
_dmarc.flyingblue.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.fogyasztobarat.hu.,DMARC1,none,default,mailto:postmaster@fogyasztobarat.hu,mailto:postmaster@fogyasztobarat.hu,default,1,default,r,r,default
_dmarc.gqueues.com.,DMARC1,reject,100,mailto:dmarc@gqueues.com,default,default,default,default,r,r,default
_dmarc.h2-view.com.,DMARC1,none,default,mailto:info@h2-view.com,default,default,default,default,default,default,default
_dmarc.imago-images.com.,DMARC1,quarantine,80,mailto:dmarc@imago-stock.de,default,quarantine,s,default,r,r,default
_dmarc.intenseye.com.,DMARC1,reject,default,mailto:eipeomrj@ag.dmarcian.com,mailto:eipeomrj@fr.dmarcian.com,default,default,default,default,default,default
_dmarc.intickets.ru.,DMARC1,quarantine,default,mailto:re+shye64lawzp@dmarc.postmarkapp.com,mailto:noreply@intickets.ru,default,default,default,default,default,default
_dmarc.joincake.com.,DMARC1,quarantine,100,mailto:eeuuobt9@ag.us.dmarcian.com,mailto:eeuuobt9@fr.us.dmarcian.com,default,1,default,default,default,default
_dmarc.joyglobal.com.,DMARC1,quarantine,100,mailto:abuseglobal.komatsu,mailto:abuse@global.komatsu,quarantine,default,default,s,s,default
_dmarc.justblinds.com.,DMARC1,none,100,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,afrf,default,default,default
_dmarc.keepcalms.com.,DMARC1,quarantine,5,mailto:re+qel8tkg9ins@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.keepnetlabs.com.,DMARC1,reject,100,"mailto:abe790c6c4b54f57974a60b5cd6d5023@dmarc-reports.cloudflare.net,mailto:no-reply@keepnetlabs.com",default,default,default,default,r,r,default
_dmarc.kfdm.com.,DMARC1,none,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.kochbar.de.,DMARC1,none,default,mailto:dmarc@rtl.de,mailto:dmarc@rtl.de,default,default,default,r,r,default
_dmarc.lutontown.co.uk.,DMARC1,quarantine,100,default,default,default,default,default,default,default,default
_dmarc.mahaonline.gov.in.,DMARC1,quarantine,100,mailto:noreply-dmarc-support@mahaonline.gov.in,mailto:noreply-dmarc-support@mahaonline.gov.in,quarantine,default,afrf,default,default,86400
_dmarc.makaira.io.,DMARC1,quarantine,100,mailto:4d9854bc835a4721ba4a7533b134e241@dmarc-reports.cloudflare.net,default,default,1,default,default,default,default
_dmarc.mamasandpapas.com.,DMARC1,none,100,mailto:b6abe63b@inbox.ondmarc.com,mailto:b6abe63b@inbox.ondmarc.com,default,1,default,default,default,3600
_dmarc.mammothmemory.net.,DMARC1,none,default,mailto:postmaster@mammothmemory.net,mailto:postmaster@mammothmemory.net,default,0:1:d:s,default,default,default,default
_dmarc.maruti.co.in.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.masterbundles.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.mugshots.zone.,DMARC1,quarantine,100,default,default,default,1,default,default,default,default
_dmarc.myactivehealth.com.,DMARC1,reject,default,mailto:activehealth@rua.agari.com,mailto:activehealth@ruf.agari.com,default,1,default,default,default,default
_dmarc.mylectra.com.,DMARC1,none,default,default,default,default,1,default,default,default,default
_dmarc.netskope.com.,DMARC1,reject,default,mailto:058f8e1209b5279@rep.dmarcanalyzer.com,mailto:058f8e1209b5279@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.networklessons.com.,DMARC1,none,default,mailto:info@renemolenaar.nl,default,default,default,default,default,default,default
_dmarc.newswire.ca.,DMARC1,quarantine,default,mailto:dmarc_agg@vali.email,default,default,default,default,default,default,default
_dmarc.nextinsurance.com.,DMARC1,quarantine,100,"mailto:dmarc@3qax9s9r.uriports.com,mailto:blibster@next-insurance.com",mailto:dmarc@3qax9s9r.uriports.com,quarantine,default,default,default,default,default
_dmarc.novakidschool.com.,DMARC1,reject,100,mailto:8687e4dcdd@rua.easydmarc.eu,mailto:8687e4dcdd@ruf.easydmarc.eu,default,1,default,default,default,default
_dmarc.penguincomputing.com.,DMARC1,none,default,mailto:dmarcreports@penguincomputing.com,default,default,default,default,default,default,default
_dmarc.playmemoriesonline.com.,DMARC1,reject,default,mailto:dmarcreports@mail-ses.playmemoriesonline.com,mailto:dmarcreports@mail-ses.playmemoriesonline.com,default,default,default,default,default,default
_dmarc.proceso.com.mx.,DMARC1,quarantine,100,default,default,default,1,default,default,default,default
_dmarc.reloaccess.com.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,default,default,default,default,default
_dmarc.retell.cc.,DMARC1,none,default,mailto:hello@retell.cc,default,default,default,default,default,default,default
_dmarc.rrstar.com.,DMARC1,none,default,mailto:dmarc_admin_rua@gatehousemedia.com,mailto:dmarc_admin_ruf@gatehousemedia.com,default,default,default,default,default,default
_dmarc.safety.google.,DMARC1,none,default,mailto:mailauth-reports@google.com,default,default,default,default,default,default,default
_dmarc.savethechildren.org.uk.,DMARC1,quarantine,default,mailto:jabslkbt@ag.dmarcian-eu.com,mailto:jabslkbt@fr.dmarcian-eu.com,none,1,default,default,default,3600
_dmarc.sculptnation.com.,DMARC1,quarantine,default,mailto:nx1ckytm@ag.us.dmarcian.com,default,default,default,default,default,default,default
_dmarc.sd-sfr.fr.,DMARC1,quarantine,100,mailto:dmarc_mj_reports@sfr.fr,mailto:dmarc_mj_reports@sfr.fr,reject,1,default,r,r,default
_dmarc.seg-social.es.,DMARC1,quarantine,default,"mailto:seguridad-social@rua.dmp.cisco.com,mailto:postmaster@seg-social.es",mailto:seguridad-social@ruf.dmp.cisco.com,quarantine,1,default,default,default,3600
_dmarc.set-works.com.,DMARC1,none,default,mailto:vlf1ohge@ag.dmarcian.com,default,default,default,default,default,default,default
_dmarc.simplesyllabus.com.,DMARC1,none,default,mailto:chris@simplesyllabus.com,mailto:chris@simplesyllabus.com,none,0,afrf,r,r,default
_dmarc.spotlight.com.,DMARC1,reject,default,"mailto:caba5b90512140beb9c6161040b14307@dmarc-reports.cloudflare.net,mailto:dmarc_agg@vali.email",mailto:spotlight.dmarc@spotlight.com,default,1,default,r,r,default
_dmarc.ssaform4641.net.,DMARC1,none,default,mailto:reed-elsevier@rua.agari.com,mailto:reed-elsevier@ruf.agari.com:phillip.majewski@accuity.com,default,1,default,default,default,3600
_dmarc.stratuslive.com.,DMARC1,reject,default,mailto:dmarc_agg@vali.email,default,reject,1,default,default,r,default
_dmarc.tachoservices.com.,DMARC1,none,default,mailto:dmarc@roadtech.co.uk,mailto:dmarc@roadtech.co.uk,none,default,default,default,default,86400
_dmarc.telenor.com.,DMARC1,none,default,mailto:abuse@telenor.net,mailto:abuse@telenor.net,none,s,default,r,s,86400
_dmarc.telestream.net.,DMARC1,none,default,mailto:dmarc@telestream.net,mailto:dmarc@telestream.net,default,1,default,default,default,default
_dmarc.tfgfashionos.com.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.thomasnet-navigator.com.,DMARC1,none,100,mailto:okukartsev@thomasnet.com,default,default,1,default,default,default,default
_dmarc.toggo.de.,DMARC1,none,default,mailto:dmarc@rtl.de,mailto:dmarc@rtl.de,default,default,default,r,r,default
_dmarc.topcoloringpages.net.,DMARC1,none,default,mailto:abuse@zenbox.pl,default,none,default,default,default,default,default
_dmarc.tosibox.com.,DMARC1,quarantine,100,mailto:re+rydnzz4doqt@dmarc.postmarkapp.com,default,none,default,default,default,r,default
_dmarc.truyen-hentai.com.,DMARC1,none,default,mailto:0d05ac2f@mxtoolbox.dmarc-report.com,mailto:0d05ac2f@forensics.dmarc-report.com,default,default,default,default,default,default
_dmarc.turborater.com.,DMARC1,none,100,mailto:postmaster@turborater.com,mailto:domainadmin@turborater.com,none,default,afrf,default,default,86400
_dmarc.vakantiediscounter.nl.,DMARC1,none,default,mailto:admin@vakantiediscounter.nl,default,default,default,default,default,default,default
_dmarc.verisoul.ai.,DMARC1,none,default,mailto:support@verisoul.xyz,default,default,default,default,default,default,default
_dmarc.virtualrewardcenter.com.,DMARC1,quarantine,default,mailto:cfc8deb570464a808b163972cc474627@dmarc-reports.cloudflare.net,default,default,default,default,default,default,default
_dmarc.wardsauto.com.,DMARC1,quarantine,50,mailto:937ab994@inbox.ondmarc.com,mailto:937ab994@inbox.ondmarc.com,default,1,default,default,default,3600
_dmarc.whirlpoolportal.com.,DMARC1,none,default,mailto:gawp41cm@ag.dmarcian.com,default,default,default,default,default,default,default
_dmarc.12twenty.com.,DMARC1,none,100,mailto:dmarc@12twenty.com,mailto:dmarc@12twenty.com,default,default,default,default,default,default
_dmarc.1rpc.io.,DMARC1,reject,default,default,default,reject,default,default,s,s,default
_dmarc.247lendinggroup.com.,DMARC1,reject,100,default,default,none,default,afrf,default,default,86400
_dmarc.4gclinical.com.,DMARC1,none,100,mailto:re+u0gl6gzloo1@dmarc.postmarkapp.com,default,none,default,default,r,r,default
_dmarc.accasoftware.com.,DMARC1,reject,100,mailto:admin@accasoftware.com,mailto:admin@accasoftware.com,reject,default,afrf,default,default,43200
_dmarc.ammunitiondepot.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.arco.co.uk.,DMARC1,none,default,mailto:dmarc@arco.co.uk,mailto:dmarcfail@arco.co.uk,default,1,default,default,default,default
_dmarc.asisonline.org.,DMARC1,none,default,"mailto:e04aa20de8244e558463daa9b1ebb3bc@dmarc-reports.cloudflare.net,mailto:dmarc_agg@vali.email",default,default,default,default,default,default,default
_dmarc.avivab2b.co.uk.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.barenecessities.com.,DMARC1,reject,default,mailto:9da8e474d22149d5bbdc6e7eb0b35ea3@dmarc-reports.cloudflare.net,default,default,default,default,default,default,default
_dmarc.base64encode.org.,DMARC1,reject,default,mailto:contact@base64encode.org,default,default,default,default,default,s,default
_dmarc.bi.com.,DMARC1,none,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.botb.com.,DMARC1,quarantine,default,mailto:dmarc_agg@auth.returnpath.net,mailto:dmarc_afrf@auth.returnpath.net,default,1,default,default,default,default
_dmarc.britishnewspaperarchive.co.uk.,DMARC1,none,default,mailto:dmarc_agg@auth.returnpath.net,mailto:dmarc_afrf@auth.returnpath.net,default,1,default,default,default,default
_dmarc.brunswickcountync.gov.,DMARC1,none,default,default,mailto:mis.alerts@brunswickcountync.gov,default,default,default,default,default,default
_dmarc.budbee.com.,DMARC1,quarantine,default,mailto:dmarc@budbee.com,mailto:dmarc@budbee.com,default,default,default,r,r,default
_dmarc.centribal.com.,DMARC1,none,100,mailto:dmarc@bullhost.es,mailto:dmarc@bullhost.es,none,1,iodef,s,s,300
_dmarc.cishoc.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.createprintables.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.deutsche-rentenversicherung.de.,DMARC1,none,default,mailto:dmarc@drv-bund.de,default,default,default,default,default,default,default
_dmarc.doj.io.,DMARC1,reject,default,mailto:8i4cvyng@ag.dmarcian.com,default,default,default,default,default,default,default
_dmarc.doverfs.com.,DMARC1,quarantine,100,mailto:DmarcAggRepDFS@doverfs.com,mailto:DmarcAuthFailDFS@doverfs.com,default,default,default,default,s,default
_dmarc.eblib.com.,DMARC1,none,default,mailto:dmarc-aggregate@clarivate.com,mailto:dmarc-reports@clarivate.com,default,1,default,default,default,default
_dmarc.enginemailer.org.,DMARC1,none,default,mailto:support@enginemailer.org,mailto:support@enginemailer.org,none,default,default,default,default,86400
_dmarc.epm.com.co.,DMARC1,quarantine,100,mailto:rua@epm.co,mailto:ruf@epm.co,default,1,default,default,default,default
_dmarc.ergos.com.,DMARC1,reject,default,mailto:dmarcreports@ergos.com,mailto:dmarcreports@ergos.com,default,default,default,default,r,default
_dmarc.fashionnetwork.com.,DMARC1,none,100,mailto:tec@fashiongroup.com,default,none,default,default,default,r,default
_dmarc.freeola.com.,DMARC1,none,default,mailto:dmarc@freeola.co.uk,default,default,default,default,default,default,default
_dmarc.getjones.com.,DMARC1,quarantine,default,"mailto:dmarc@getjones.com,mailto:re+d2cd7e7e31e5@inbound.dmarcdigests.com",default,default,default,default,default,default,default
_dmarc.getnave.com.,DMARC1,reject,default,mailto:email@getnave.com,default,default,default,default,default,default,default
_dmarc.gillettevenus.com.tr.,DMARC1,none,default,mailto:procter-gamble@rua.dmp.cisco.com,mailto:procter-gamble@ruf.dmp.cisco.com,default,1,default,default,default,3600
_dmarc.go2si.com.,DMARC1,quarantine,default,mailto:reports@go2si.com,mailto:reports@go2si.com,default,1,default,default,default,default
_dmarc.healtheast.org.,DMARC1,reject,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.hermespardini.com.br.,DMARC1,reject,100,default,default,default,default,default,default,default,default
_dmarc.icanotes.com.,DMARC1,none,10,mailto:admin@icanotes.com,default,default,default,default,default,default,default
_dmarc.indojavstream.com.,DMARC1,quarantine,default,mailto:sunuomi.nuomi@gmail.com,default,default,default,default,default,default,default
_dmarc.infotrack.co.uk.,DMARC1,none,default,mailto:postmaster@infotrack.co.uk,default,default,default,default,default,default,default
_dmarc.intelligentfridges.com.,DMARC1,none,default,default,default,default,default,default,default,default,default
_dmarc.jameda.de.,DMARC1,quarantine,default,mailto:rh9nx8sd@ag.eu.dmarcadvisor.com,default,default,default,default,r,r,default
_dmarc.jaywing.com.,DMARC1,quarantine,100,"mailto:dmarc@jaywing.com,mailto:re+crnv2ubpkv4@dmarc.postmarkapp.com",default,quarantine,default,default,default,r,default
_dmarc.jccc.edu.,DMARC1,none,default,mailto:9e509589f4a8115@rep.dmarcanalyzer.com,mailto:9e509589f4a8115@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.jenoptik-inc.com.,DMARC1,quarantine,default,"mailto:fbbebc03eb12320@rep.dmarcanalyzer.com,mailto:re+ly30mgqxjck@dmarc.postmarkapp.com",mailto:fbbebc03eb12320@for.dmarcanalyzer.com,default,1,default,default,default,default
_dmarc.junkemailfilter.com.,DMARC1,none,0,mailto:dmarc@junkemailfilter.com,mailto:dmarc@junkemailfilter.com,none,default,afrf,default,default,86400
_dmarc.ke2.io.,spf1 include:relay.mailchannels.net include:sendgrid.net -all,default,default,default,default,default,default,default,default,default,default
_dmarc.kingsford.com.,DMARC1,quarantine,default,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.kuantokusta.pt.,DMARC1,none,default,mailto:reports+dmarc@kuantokusta.pt,default,default,default,default,default,default,default
_dmarc.landstaronline.com.,DMARC1,reject,default,"mailto:dmarc_agg@vali.email,mailto:dmarc_rua@emaildefense.proofpoint.com",mailto:dmarc_ruf@emaildefense.proofpoint.com,default,1,default,default,default,default
_dmarc.laopinion.com.,DMARC1,reject,default,mailto:postmaster@laopinion.com,default,default,default,default,default,default,default
_dmarc.leedsunited.com.,DMARC1,reject,default,mailto:rua+leedsunited.com@dmarc.barracudanetworks.com,mailto:ruf+leedsunited.com@dmarc.barracudanetworks.com,default,1,default,default,default,default
_dmarc.lucidcx.com.,DMARC1,none,100,"mailto:2c26a6a5@inbox.ondmarc.com, mailto:mailroom@lucidcx.com",mailto:2c26a6a5@inbox.ondmarc.com,default,1,default,default,default,3600
_dmarc.matrixretail.com.,DMARC1,none,100,mailto:ahopkins@matrixretail.com,mailto:ahopkins@matrixretail.com,none,default,afrf,default,default,86400
_dmarc.maximeyes.com.,DMARC1,none,default,mailto:cloud@first-insight.com,default,default,default,default,default,default,default
_dmarc.membercentral.com.,DMARC1,none,default,"mailto:6d4bc642@mxtoolbox.dmarc-report.com,mailto:dmarc_agg@vali.email",mailto:6d4bc642@forensics.dmarc-report.com,default,1,default,default,default,default
_dmarc.milestone.it.,DMARC1,quarantine,10,mailto:dmarc-reports@milestone.it,default,default,default,default,default,default,default
_dmarc.mlslistings.com.,DMARC1,none,default,mailto:dmarc_agg@vali.email,mailto:dmarcdkim@mlslistings.com,none,1,default,r,r,3600
_dmarc.moneyguide.com.,DMARC1,reject,100,"mailto:dmarc_agg@vali.email,mailto:10d3cc2e6d05356@rep.dmarcanalyzer.com",mailto:10d3cc2e6d05356@for.dmarcanalyzer.com,none,1,default,default,r,default
